Ticker,Report Date,Act,Est
V,2019-01-30,1.3,1.253
VAR,2019-01-23,1.06,1.084
VFC,2019-01-18,1.31,1.087
VIAB,2019-02-05,1.12,1.024
VLO,2019-01-31,2.12,1.067
VMC,2019-02-14,0.99,0.89
VNO,2019-02-11,1.1,1.116
VRSK,2019-02-19,1.04,1.068
VRSN,2019-02-07,1.58,1.21
VRTX,2019-02-05,1.3,1.079
VTR,2019-02-08,0.96,0.949
VZ,2019-01-29,1.12,1.088
WAB,2019-02-25,0.97,1.018
WAT,2019-01-23,2.87,2.64
WCG,2019-02-05,1.63,1.554
WDC,2019-01-24,1.45,1.481
WELL,2019-02-12,1.01,1.025
WFC,2019-01-15,1.108,1.185
WHR,2019-01-28,4.75,4.233
WLTW,2019-02-07,4,4.055
WM,2019-02-14,1.13,1.064
WMB,2019-02-13,0.2,0.239
WMT,2019-02-19,1.41,1.336
WRK,2019-01-31,0.83,0.805
WY,2019-02-01,0.1,0.114
WYNN,2019-01-30,1.06,1.317
XEC,2019-02-20,1.98,1.784
XEL,2019-01-31,0.42,0.418
XLNX,2019-01-23,0.93,0.844
XOM,2019-02-01,1.41,1.08
XRAY,2019-03-01,0.58,0.537
XYL,2019-01-31,0.88,0.879
YUM,2019-02-07,0.4,0.946
ZBH,2019-02-01,2.18,2.172
ZION,2019-01-22,1.06,1.052
ZTS,2019-02-14,0.79,0.769
